Resuming from checkpoint: checkpoints/step_296583
  Resumed at step 296583

============================================================
  Unrealistic 187M — Training
  Parameters: 189,748,992
  Dtype: bfloat16
  Optimizer: AdamW (mlx)
  Micro-batch: 1 × 8 accum
  Effective batch: 8
  Memory: 534 MB
============================================================

step 297,730 | loss 0.1824 | lr 1.00e-04 | 1377 tok/s | fwd_bwd 2791ms data 1ms clip 23ms optim 120ms step 2956ms mem 1493/2439MB
step 297,740 | loss 0.2148 | lr 1.00e-04 | 1374 tok/s | fwd_bwd 2807ms data 1ms clip 23ms optim 119ms step 2971ms mem 1493/2439MB
step 297,750 | loss 0.2686 | lr 1.00e-04 | 1374 tok/s | fwd_bwd 2785ms data 1ms clip 23ms optim 119ms step 2947ms mem 1492/2439MB
step 297,760 | loss 0.3105 | lr 1.00e-04 | 1372 tok/s | fwd_bwd 2804ms data 1ms clip 23ms optim 122ms step 2971ms mem 1493/2439MB
step 297,770 | loss 0.2030 | lr 1.00e-04 | 1374 tok/s | fwd_bwd 2785ms data 1ms clip 23ms optim 119ms step 2949ms mem 1493/2439MB
Checkpoint saved: checkpoints/step_297774
  Pruning old checkpoint: checkpoints/step_296583
step 297,780 | loss 0.1834 | lr 1.00e-04 | 1318 tok/s | fwd_bwd 2930ms data 1ms clip 23ms optim 117ms step 3080ms mem 1493/2439MB
step 297,790 | loss 0.2526 | lr 1.00e-04 | 1190 tok/s | fwd_bwd 3936ms data 1ms clip 37ms optim 188ms step 4168ms mem 1493/2439MB
step 297,800 | loss 0.3494 | lr 1.00e-04 | 1036 tok/s | fwd_bwd 3765ms data 1ms clip 37ms optim 167ms step 3976ms mem 1493/2439MB
step 297,810 | loss 0.2263 | lr 1.00e-04 | 1103 tok/s | fwd_bwd 2900ms data 1ms clip 23ms optim 120ms step 3066ms mem 1492/2439MB
step 297,820 | loss 0.2112 | lr 1.00e-04 | 1301 tok/s | fwd_bwd 2814ms data 1ms clip 20ms optim 111ms step 2961ms mem 1493/2439MB
step 297,830 | loss 0.2472 | lr 1.00e-04 | 1350 tok/s | fwd_bwd 2886ms data 1ms clip 23ms optim 121ms step 3050ms mem 1493/2439MB
step 297,840 | loss 0.2452 | lr 1.00e-04 | 1365 tok/s | fwd_bwd 2776ms data 1ms clip 23ms optim 120ms step 2941ms mem 1493/2439MB
step 297,850 | loss 0.2411 | lr 1.00e-04 | 1374 tok/s | fwd_bwd 2778ms data 1ms clip 20ms optim 111ms step 2929ms mem 1448/2439MB
step 297,860 | loss 0.2073 | lr 1.00e-04 | 1385 tok/s | fwd_bwd 2722ms data 0ms clip 20ms optim 111ms step 2863ms mem 1493/2439MB
step 297,870 | loss 0.2139 | lr 1.00e-04 | 1378 tok/s | fwd_bwd 2765ms data 1ms clip 23ms optim 119ms step 2927ms mem 1493/2439MB
step 297,880 | loss 0.2143 | lr 1.00e-04 | 1384 tok/s | fwd_bwd 2765ms data 1ms clip 23ms optim 120ms step 2929ms mem 1493/2439MB
step 297,890 | loss 0.2576 | lr 1.00e-04 | 1386 tok/s | fwd_bwd 2769ms data 1ms clip 23ms optim 120ms step 2932ms mem 1493/2439MB
step 297,900 | loss 0.2558 | lr 1.00e-04 | 1382 tok/s | fwd_bwd 2783ms data 1ms clip 23ms optim 119ms step 2945ms mem 1490/2439MB
step 297,910 | loss 0.1997 | lr 1.00e-04 | 1382 tok/s | fwd_bwd 2765ms data 1ms clip 22ms optim 118ms step 2927ms mem 1493/2439MB
step 297,920 | loss 0.2606 | lr 1.00e-04 | 1378 tok/s | fwd_bwd 2773ms data 1ms clip 23ms optim 119ms step 2936ms mem 1493/2439MB
step 297,930 | loss 0.2410 | lr 1.00e-04 | 1380 tok/s | fwd_bwd 2752ms data 1ms clip 24ms optim 120ms step 2916ms mem 1493/2439MB
step 297,940 | loss 0.2767 | lr 1.00e-04 | 1377 tok/s | fwd_bwd 2778ms data 1ms clip 23ms optim 119ms step 2941ms mem 1493/2439MB
step 297,950 | loss 0.2532 | lr 1.00e-04 | 1366 tok/s | fwd_bwd 2891ms data 1ms clip 24ms optim 136ms step 3071ms mem 1493/2439MB
step 297,960 | loss 0.2402 | lr 1.00e-04 | 1291 tok/s | fwd_bwd 3084ms data 1ms clip 22ms optim 116ms step 3229ms mem 1493/2439MB
step 297,970 | loss 0.2212 | lr 1.00e-04 | 1328 tok/s | fwd_bwd 2795ms data 1ms clip 24ms optim 128ms step 2968ms mem 1490/2439MB
step 297,980 | loss 0.2027 | lr 1.00e-04 | 1365 tok/s | fwd_bwd 2802ms data 1ms clip 23ms optim 119ms step 2965ms mem 1448/2439MB
step 297,990 | loss 0.2673 | lr 1.00e-04 | 1353 tok/s | fwd_bwd 2938ms data 1ms clip 21ms optim 118ms step 3083ms mem 1448/2439MB
step 298,000 | loss 0.2108 | lr 1.00e-04 | 1330 tok/s | fwd_bwd 2859ms data 1ms clip 22ms optim 125ms step 3021ms mem 1448/2439MB
  [eval] step 298000 | val_loss 0.5662 | ppl 1.76
Checkpoint saved: checkpoints/step_298000
  [samples] wrote checkpoints/step_298000/samples.txt
  Pruning old checkpoint: checkpoints/step_297000
step 298,010 | loss 0.2415 | lr 1.00e-04 | 539 tok/s | fwd_bwd 2829ms data 1ms clip 23ms optim 123ms step 2996ms mem 1493/2439MB
step 298,020 | loss 0.1482 | lr 1.00e-04 | 1367 tok/s | fwd_bwd 2793ms data 1ms clip 20ms optim 111ms step 2932ms mem 1493/2439MB
step 298,030 | loss 0.2273 | lr 1.00e-04 | 1371 tok/s | fwd_bwd 2800ms data 1ms clip 23ms optim 123ms step 2968ms mem 1493/2439MB
step 298,040 | loss 0.2709 | lr 1.00e-04 | 1382 tok/s | fwd_bwd 2777ms data 1ms clip 23ms optim 119ms step 2942ms mem 1493/2439MB
step 298,050 | loss 0.2321 | lr 1.00e-04 | 1386 tok/s | fwd_bwd 2827ms data 1ms clip 23ms optim 119ms step 2988ms mem 1493/2439MB
step 298,060 | loss 0.2094 | lr 1.00e-04 | 1375 tok/s | fwd_bwd 2890ms data 1ms clip 23ms optim 121ms step 3052ms mem 1493/2439MB
step 298,070 | loss 0.2548 | lr 1.00e-04 | 1398 tok/s | fwd_bwd 2784ms data 1ms clip 20ms optim 111ms step 2931ms mem 1493/2439MB
step 298,080 | loss 0.2121 | lr 1.00e-04 | 1388 tok/s | fwd_bwd 2786ms data 1ms clip 23ms optim 116ms step 2947ms mem 1493/2439MB
step 298,090 | loss 0.2711 | lr 1.00e-04 | 1389 tok/s | fwd_bwd 2782ms data 1ms clip 23ms optim 123ms step 2943ms mem 1493/2439MB
step 298,100 | loss 0.1758 | lr 1.00e-04 | 1324 tok/s | fwd_bwd 2908ms data 1ms clip 22ms optim 117ms step 3053ms mem 1493/2439MB
step 298,110 | loss 0.2240 | lr 1.00e-04 | 1277 tok/s | fwd_bwd 2994ms data 1ms clip 21ms optim 118ms step 3139ms mem 1492/2439MB
step 298,120 | loss 0.2066 | lr 1.00e-04 | 1328 tok/s | fwd_bwd 2954ms data 1ms clip 23ms optim 121ms step 3119ms mem 1493/2439MB
step 298,130 | loss 0.1932 | lr 1.00e-04 | 1361 tok/s | fwd_bwd 2845ms data 1ms clip 23ms optim 119ms step 3008ms mem 1493/2439MB
step 298,140 | loss 0.2077 | lr 1.00e-04 | 1370 tok/s | fwd_bwd 2818ms data 1ms clip 23ms optim 119ms step 2981ms mem 1493/2439MB
step 298,150 | loss 0.2567 | lr 1.00e-04 | 1379 tok/s | fwd_bwd 2777ms data 1ms clip 24ms optim 120ms step 2939ms mem 1493/2439MB
step 298,160 | loss 0.1898 | lr 1.00e-04 | 1383 tok/s | fwd_bwd 2761ms data 1ms clip 23ms optim 120ms step 2925ms mem 1448/2439MB
step 298,170 | loss 0.1756 | lr 1.00e-04 | 1391 tok/s | fwd_bwd 2724ms data 1ms clip 20ms optim 111ms step 2867ms mem 1452/2439MB
